id,constant,position,translate,
33,indexStepsText.step1.text|dot,Описание Шага №1,Простая регистрация откроет доступ в терминал для торговли более чем 150 торговыми инструментами.,
34,indexStepsText.step2.title,Шаг №2,2. Пополнение счета,
35,indexStepsText.step2.text|dot,Описание Шага №2,Мы предоставляем большое количество возможностей по вводу и выводу средств. Моментальный ввод и вывод средств. ,
36,indexStepsText.step3.title,Шаг №3,3. Торговля,
37,indexStepsText.step3.text|dot,Описание Шага №3,Начните торговать и получайте реальную прибыль с первой операции. ,
1.5. Информация об аккаунтах.,,,,
38,indexAccountsText.h2,Главный заголовок раздела,Информация об аккаунтах,
39,indexAccountsText.account1.title,Аккаунт №1,Базовый аккаунт,
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,Получите доступ к множеству торговых инструментов уже сегодня.,
41,indexAccountsText.account2.title,Аккаунт №2,Продвинутый аккаунт,
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Больше возможностей для успешной торговли на финансовых рынках.,
43,indexAccountsText.account3.title,Аккаунт №3,Профессиональный аккаунт,
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,Используйте максимальные возможности терминала и минимальные спреды для получения максимальной прибыли.,
45,indexAccountsText.account_condition_1,Минимальный депозит:,Минимальный депозит,
46,indexAccountsText.account_condition_2,Кредитное плечо:,Кредитное плечо,
47,indexAccountsText.account_condition_3,Моментальное исполнение,Моментальное исполнение,
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Торговля криптовалютами и металлами,
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,Возможность инвестиций в ПАММ-счета,
50,indexAccountsText.account_condition_6,Отсутствие свопа,Отсутствие свопа,
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,Торговля ETF и индексами,
52,indexAccountsText.account_condition_8,Страхование депозитов,Страхование депозитов,
53,indexAccountsText.account_condition_9,Персональный менеджер,Персональный менеджер,
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Открытие личного ПАММ-счета,
53,indexAccountsText.account_condition_11,Защита депозитов,Защита депозитов,
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,Круглосуточная поддержка,
1.6. Новости,,,,
55,indexNewsText.h2,Главный заголовок раздела,Последние экономические новости,
1.7. Футер,,,,
56,footerContent,Футер текст,"Компания Company Name зарегистрирована по адресу: F30-F32 Eden Plaza, Eden Island, Mahe, Seychelles.
Компания Company Name уполномочена на ведение деятельности и работает в соответствии с требованиями Кипрской комиссии по ценным бумагам и биржам (номер лицензии: 95/46).
Компания Company Name уполномочена на ведение деятельности Комиссией по международным финансовым услугам (IFSC) (14/363/TS/16).
Деятельность компании Company Name регулируется Комиссией по финансовым услугам Республики Маврикия, номер лицензии инвестиционного дилера: C642875963.",
2. Рынки и инструменты,,,,
2.2. Обзор рынков,,,,
2.2.1. Посадочный экран,,,,
57,marketsHeaderText.title,Заголовок,Откройте для себя мир финансовой торговли,
58,marketsHeaderText.text|dot,Подзаголовок,Уже сегодня вы можете получить доступ к торговле самыми популярными торговыми инструментами и получить свою первую прибыль,
59,commonMarketsText.title_graph,Заголовок торгового графика,График торгового инструмента,
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Таблица инструментов,
61,commonMarketsText.footnote,Часы работы рынков,* часы открытия и закрытия торгов указаны по UTC+0,
2.2.2. Валюты,,,,
62,marketsListText.market1.title,Заголовок,Форекс ,
63,marketsListText.market1.text|dot,Подзаголовок,Торгуйте валютами на мировом финансовом рынке на конкурентоспособных условиях,
2.2.3. Металлы,,,,
64,marketsListText.market2.title,Заголовок,Металлы,
65,marketsListText.market2.text|dot,Подзаголовок,Золото и серебро являются высоколиквидными активами на финансовом рынке. Эти драгоценные металлы активно используются трейдерами в качестве основных инструментов для CFD-торговли.,
2.2.4. Акции,,,,
66,marketsListText.market3.title,Заголовок,Акции,
67,marketsListText.market3.text|dot,Подзаголовок,"Торговать CFD на акции очень просто! Преимущество такого формата торговли в том, что не нужно физически покупать и продавать акции. Ведь сделки торгуются на разницу цен в любом направлении.",
2.2.5. Товары,,,,
68,marketsListText.market4.title,Заголовок,Товары,
69,marketsListText.market4.text|dot,Подзаголовок,Инвестируйте в CFD-трейдинг товарами вместе с Company Name и получите доступ к десяткам инструментов уже сейчас.,
2.2.6. Индексы,,,,
70,marketsListText.market5.title,Заголовок,Индексы,
71,marketsListText.market5.text|dot,Подзаголовок,"Мировые индексы объединяют в себе десятки акций крупнейших компаний, значительно расширяя возможности заработка на CFD-трейдинге.",
2.2.7. Криптовалюты,,,,
72,marketsListText.market6.title,Заголовок,Криптовалюты,
73,marketsListText.market6.text|dot,Подзаголовок,Торгуйте самыми популярными криптовалютами и получайте прибыль уже сегодня,
2.3. Валюты,,,,
2.3.1. Посадочный экран,,,,
74,forexHeaderText.title,Заголовок,Попробуйте торговать на мировом рынке валюты,
75,forexHeaderText.text|dot,Подзаголовок,"Децентрализованный рынок валюты имеет множество преимуществ для торговли CFD. Котировки валютных пар очень динамичны, что позволяет зарабатывать каждый день на длинных и коротких позициях.",
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Четкий контроль,
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Деятельность компании регулируется, что обеспечивает высокий уровень прозрачности сделок с валютой и другими активами.",
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Выбор активов,
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Каждый трейдер может совершать сделки с разными валютными парами, количество которых превышает 40 единиц.",
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Работа с клиентами,
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Каждый зарегистрированный трейдер может получить консультационной помощь на выбранном языке.,
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Динамика рынка,
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Котировки валютных меняются каждую секунду, что делает их очень волатильными и ликвидными.",
2.3.2. Описание рынка,,,,
84,forexAssetsText.title,Заголовок,Больше информации о рынке валюты,
85,forexAssetsText.text|dot,Подзаголовок,"Торговать CFD на валютные пары можно 24 часа в день 5 дней в неделю с кредитным плечом до 1:100. На выбор зарегистрированным трейдерам нашей брокерской компании доступны различные торговые инструменты, помогающие определить потенциальные торговые возможности и тенденции рынка. Все инструменты для анализа, прогнозирования и совершения сделок с валютными парами абсолютно бесплатны. ",
2.4. Металлы,,,,
2.4.1. Посадочный экран,,,,
86,metalsHeaderText.title,Заголовок,Попробуйте торговать на мировом рынке металлов,
87,metalsHeaderText.text|dot,Подзаголовок,"Оцените свои возможности на мировом рынке драгоценных металлов, где торгуется золото и серебро. ",
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Фиксированные спреды,
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,Агрегаторы ликвидности обеспечивают стабильность передачи котировок и прозрачность спредов.,
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,10+ инструментов,
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,Бесплатные инструменты анализа и прогнозирования доступны в торговом терминале.,
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Кредитное плечо от 1:20,
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Каждый трейдер может выбрать оптимальный для него уровень кредитного плеча, чтобы управлять рисками.",
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,0 скрытых платежей,
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,Не омрачайте торговлю металлами комиссиями и скрытыми платежами. ,
2.4.2. Описание рынка,,,,
96,metalsAssetsText.title,Заголовок,Больше информации о рынке металлов,
97,metalsAssetsText.text|dot,Подзаголовок,"В нестабильное экономическое время драгоценные металлы служат отличным активом для диверсификации рисков. Этим пользуются тысячи инвесторов и трейдеров со всего мира. Несмотря на инфляцию валют, золото и серебро остаются ценными ресурсами. Их стоимость стабильна и прогнозирована. ",
2.5. Акции,,,,
2.5.1. Посадочный экран,,,,
98,stocksHeaderText.title,Заголовок,Попробуйте торговать на мировом рынке акций,
99,stocksHeaderText.text|dot,Подзаголовок,Выгодные торговые условия позволяют получать больше прибыли на колебаниях котировок акций крупнейших компаний мира.,
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Легкий старт,
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,Для совершения первой сделки с акциями компаний достаточно зарегистрировать аккаунт за пару минут.,
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Точная ликвидность,
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Агрегаторами ликвидности выступают крупнейшие финансовые центры мира, что обеспечивает максимальную точность котировок.",
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Мобильный трейдинг,
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,Наличие мобильной версии торгового терминала позволяет торговать в любом месте и в любое время со смартфона или планшета.,
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Консультирование 24/7,
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,При возникновении вопросов к менеджерам компании можно всегда оставить запрос и получить развернутую консультацию.,
2.5.2. Описание рынка,,,,
108,stocksAssetsText.title,Заголовок,Больше информации о рынке акций,
109,stocksAssetsText.text|dot,Подзаголовок,"Зарабатывать на акциях компаний можно и в формате CFD. Для этого не нужен большой стартовый капитал, а процесс покупки и продажи сводится к нажатиям одной кнопки в торговом терминале. Торговать по такому сценарию можно множеством ценных бумаг компаний.",
2.6. Товары,,,,
2.6.1. Посадочный экран,,,,
110,commoditiesHeaderText.title,Заголовок,Попробуйте торговать на мировом рынке товаров,
111,commoditiesHeaderText.text|dot,Подзаголовок,"Инвестируйте в перспективные энергоресурсы и сырье, зарабатывая на разнице цен этих финансовых инструментов даже с небольшим капиталом.",
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Любые объемы лота,
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Вы сможете торговать даже с небольшим депозитом, выбирая небольшой объем лота.",
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Исполнение за мгновение,
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Надежные поставщики ликвидности гарантируют скоростное исполнение без реквот и проскальзываний.,
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Отсутствие свопа,
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,В торговле сырьем не взимается плата за перенос ордеров с одного дня на другой.,
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Информативный трейдинг,
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Точность и результативность торговли товарами обеспечивается функциональным терминалом для трейдинга.,
2.6.2. Описание рынка,,,,
120,commoditiesAssetsText.title,Заголовок,Больше информации о рынке товаров,
121,commoditiesAssetsText.text|dot,Подзаголовок,"Энергетический и сырьевой рынки могут зависимы от политических и экономических факторов. Быстрая реакция и грамотный анализ трейдера помогут совершать точные и результативные сделки. В эту категорию финансовых инструментов входят ликвидные активы, включая нефть и газ.",
2.7. Индексы,,,,
2.7.1. Посадочный экран,,,,
122,indicesHeaderText.title,Заголовок,Попробуйте торговать на мировом рынке индексов,
123,indicesHeaderText.text|dot,Подзаголовок,"Торговля контрактами на разницу цен на индексы может приносить неограниченный доход. Это очень ликвидная и перспективная категория финансовых инструментов, которая подходит начинающим и опытным трейдерам.",
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Популярные индексы,
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Доступ к наиболее перспективным и ликвидным индексам США, Европы и Азии.",
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Комиссия от 0.00%,
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Оцените абсолютное отсутствие комиссии и скрытых платежей за сделки с фондовыми индексами.,
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Торговля когда-угодно,
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,Активность рынка индексов позволяет торговать в любое время суток в будние дни. ,
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Ликвидная диверсификация,
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Тысячи трейдеров и инвесторов используют индексы для диверсификации своих портфелей активов.,
2.7.2. Описание рынка,,,,
132,indicesAssetsText.title,Заголовок,Больше информации о рынке индексов,
133,indicesAssetsText.text|dot,Подзаголовок,"Торговля индексами на мировом рынке позволяет сразу инвестировать в целые сектора экономики. Ведь каждый индекс объединяет целый пул акций компаний одной сферы деятельности или одинакового сектора. Анализируя и отслеживая тенденции в экономике, можно более точно прогнозировать движение цен на индексы.",
2.8. Криптовалюты,,,,
2.8.1. Посадочный экран,,,,
134,cryptoHeaderText.title,Заголовок,Попробуйте трейдинг на мировом рынке криптовалюты ,
135,cryptoHeaderText.text|dot,Подзаголовок,"Торговля на разницу цен криптовалют гораздо проще, чем кажется! Откройте брокерский счет за пару минут и приступите к CFD-трейдингу ликвидными криптовалютами, включая Bitcoin, Ethereum, Litecoin и другие.",
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Конкурентное плечо,
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,Регулируемое кредитное плечо от 1:20 позволяет управлять рисками и потенциальной прибылью.,
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Допустима любая тактика,
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Удобно, когда можно использовать любую стратегию трейдинга криптовалютой.",
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Надежная платформа,
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,Торговля криптовалютой очень удобна за счет многофункционального торгового терминала.,
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Лучшие поставщики услуг,
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,За счет надежных агрегаторов ликвидности все сделки исполняются очень быстро и точно.,
2.8.2. Описание рынка,,,,
144,cryptoAssetsText.title,Заголовок,Больше информации о рынке криптовалюты,
145,cryptoAssetsText.text|dot,Подзаголовок,"Криптовалюта представляет собой децентрализованное платежное средство, которое лишено какого-либо регулятора. Эмиссия цифровых денег вроде Bitcoin, Ethereum, Litecoin и других осуществляется посредством майнинга. То есть участники сети криптовалюты сами генерируют новые монеты, которые с каждым годом все труднее и труднее добывать.",
3. Торговые условия,,,,
3.1. Посадочный экран,,,,
146,tradingHeaderText.title,Заголовок,Торговые инструменты Company Name,
147,tradingHeaderText.text|dot,Подзаголовок,Более 150 торговых инструментов доступны вам для торговли на всех современных финансовых рынках. Совершайте операции по различным торговым инструментам и получайте прибыль вместе с вашим проверенным брокером.,
3.2. Калькулятор трейдера,,,,
148,tradingCalculatorText.title,Заголовок,Просчитайте результат сделок на калькуляторе трейдера,
149,tradingCalculatorText.text|dot,Подзаголовок,"Полезный и функциональный инструмент трейдера позволяет за пару секунд узнать потенциальный размер прибыли, спреда и маржинальные требования ордера. ",
3.3. Расчетные данные,,,,
150,estimationText.offer_1,Инструмент,"Инструмент: <div class=""description"">указывайте выбранный финансовый инструмент из списка</div>",
151,estimationText.offer_2,Цена открытия,"Цена: <div class=""description"">укажите предположительную цену открытия и закрытия ордера, чтобы узнать возможный результат</div>",
152,estimationText.offer_3,Объем сделки,"Объем сделки: <div class=""description"">укажите точный объем сделки в лотах</div>",
153,estimationText.offer_4,"Спред, в пунктах","Своп в пунктах: <div class=""description"">просчитывается автоматически исходя из разницы между ценами Ask и Bid</div>",
154,estimationText.offer_5,"Своп, в USD","Своп в USD: <div class=""description"">просчитывается автоматически исходя из стоимости переноса позиции в ночное время</div>",
155,estimationText.offer_6,Маржа в USD,"Маржа: <div class=""description"">указанные данные - это минимальный размер свободного депозита, который необходим для осуществления сделки</div>",
156,estimationText.offer_7,Прибыль в USD,"Прибыль: <div class=""description"">указывается вероятная прибыль на основании введенных параметров</div>",
3.4. Пример расчета,,,,
157,estimationText.h2,Заголовок,Как работает калькулятор трейдера,
158,estimationText.ul_title|dot,Подзаголовок,Исходные данные,
159,estimationText.li_1,Данные №1,Инструмент,
160,estimationText.li_2,Данные №2,Объем сделки в лотах,
161,estimationText.li_3,Данные №3,Тип ордера,
162,estimationText.li_4,Данные №4,Цена открытия,
163,estimationText.li_5,Данные №5,Цена закрытия,
164,estimationText.li_6,Данные №6,Маржа,
165,estimationText.li_7,Данные №7,Прибыль,
4. О компании,,,,
4.1. О компании + Показатели,,,,
166,aboutHeaderText.title,Слоган-заголовок,"Company Name - брокер, который заботится о своих клиентах",
167,aboutHeaderText.text|dot,Подзаголовок,"С момента своего основания Company Name делает акцент на предоставлении лучших торговых условий, используя для этого инновационные технологии и наработанный с годами опыт.",
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='380000'>0</span>,
169,aboutCounterText.counter1.text,Текст показателя №1,открытых торговых счетов,
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='500000'>0</span>,
171,aboutCounterText.counter2.text,Текст показателя №2,торговых операций в день,
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='150'>0</span>+,
173,aboutCounterText.counter3.text,Текст показателя №3,торговых инструментов,
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='70'>0</span> млн,
175,aboutCounterText.counter4.text,Текст показателя №4,долларов ежедневный объем торговли,
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>-й,
177,aboutCounterText.counter5.text,Текст показателя №5,год на рынке,
4.2. Вы в центре всего,,,,
178,aboutConditionsText.title,Заголовок,"Мы ежедневно совершенствуемся, чтобы обеспечить вам максимальный комфорт",
179,aboutConditionsText.text|dot,Подзаголовок,"Мы постоянно вкладываем в технологии свои усилия и средства, чтобы улучшить качество наших услуг. За спиной компании множество сильных финансовых результатов и показатели стабильного роста. Company Name успела заработать себе репутацию надежного лидера рынка и новатора.",
4.3. Цели и задачи компании,,,,
180,aboutGoalsText.h2,Общий заголовок,Наша компания уже показала стабильный рост и продолжает совершенствоваться для вас,
181,aboutGoalsText.goal1.title,Заголовок №1,Техническое лидерство на рынке,
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,Мы ежедневно увеличиваем показатели качества предоставляемых услуг и интегрируем самые новые технические решения. Наша цель - стать самым безопасным и технологичным продуктом на рынке. ,
183,aboutGoalsText.goal2.title,Заголовок №2,Максимальный комфорт клиентов,
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,Мы ежедневно улучшаем качество поддержки наших клиентов. Наша цель - сделать общение с нашими клиентами максимально комфортным и результативным. ,
4.4. Больше возможностей для трейдинга,,,,
185,aboutQualityText.title,Заголовок №1,Больше возможностей для торговли на финансовых рынках,
186,aboutQualityText.text|dot,Описание заголовка №1,"Компания Company Name это доверенный брокер тысяч успешных трейдеров по всему миру.
Совершайте операции на самых известных финансовых рынках, используя передовые возможности нашей торговой платформы.  ",
4.5. Наша история,,,,
187,aboutHistoryText.h2,Общий заголовок,История компании Company Name,
188,aboutHistoryText.year1.title,2018 год. Заголовок,Начало пути,
189,aboutHistoryText.year1.text|dot,2018 год. Описание,Год основания компании. Первая версия платформы. Реализована возможность торговать на рынке форекс и рынке акций. Первые награды компании и регистрация 40 000 аккаунтов.,
190,aboutHistoryText.year2.title,2019 год. Заголовок,Первые результаты,
191,aboutHistoryText.year2.text|dot,2019 год. Описание,"Зарегистрировано 150 000 аккаунтов. Клиентам компании стали доступны новые типы контрактов - это CFD на Фьючерсы и ETF, а также индексы. Количество операций в день превысило показатель в 1,5 млн. ",
192,aboutHistoryText.year3.title,2020 год. Заголовок,Выход на международные рынки,
193,aboutHistoryText.year3.text|dot,2020 год. Описание,Зарегистрировано 226 000 аккаунтов. Трейдеры с более чем 70 стран выбрали нас в качестве своего брокера. Достигнута рекордная скорость совершения операций - 0.1 секунда.  ,
194,aboutHistoryText.year4.title,2021 год. Заголовок,Впечатляющие показатели и амбициозные планы,
195,aboutHistoryText.year4.text|dot,2021 год. Описание,Зарегистрировано более 300 000 аккаунтов. Количество операций в день превысило показатель в 3 млн. Проект новой версии торговой платформы находится в разработке. В планах завоевание новых высот на финансовых рынках.  ,
4.6. Платформа для торговли разработанная для людей.,,,,
196,aboutPlatformText.title,Заголовок,"Торговая платформа Company Name - это безопасность, инновационность и комфорт во время торговли",
197,aboutPlatformText.text|dot,Подзаголовок,"Самый лучший показатель для нас - это сотни тысяч трейдеров, которые выбрали нашу платформу для успешной торговли на финансовых рынках. ",
198,aboutPlatformText.advantage1,Преимущества №1,"Простой, интуитивно понятный интерфейс",
199,aboutPlatformText.advantage2,Преимущества №2,Котировки в режиме реального времени,
200,aboutPlatformText.advantage3,Преимущества №3,Моментальное исполнение,
201,aboutPlatformText.advantage4,Преимущества №4,Защита от отрицательного баланса,
202,aboutPlatformText.advantage5,Преимущества №5,Бесперебойная торговля,
203,aboutPlatformText.advantage6,Преимущества №6,Подробная история операций по счету,
204,aboutPlatformText.advantage7,Преимущества №7,Расширенные аналитические инструменты,
5. Лицензии.,,,,
5.1. Посадочный экран,,,,
205,licensesHeaderText.title,Заголовок,Партнеры и лицензии,
206,licensesHeaderText.text,Подзаголовок к заголовку,"Деятельность брокерской компании строго регулируется несколькими независимыми организациями и комиссиями. А исполнение сделок осуществляется с котировками от ведущих агрегаторов ликвидности. Ознакомиться с партнерами, которые обеспечивают прозрачность и безопасность сделок, можно прямо на этой странице.",
5.2. Информация о регуляторах и банках,,,,
207,licensesListText.license1.title,Заголовок №1,MiFID,
208,licensesListText.license1.text,Описание №1,"Независимая европейская Директива, которая регулирует деятельность участников финансовых рынков в Европе и в других регионах.",
209,licensesListText.license2.title,Заголовок №2,Bank of America,
210,licensesListText.license2.text,Описание №2,"Американский финансовый конгломерат, который выступает агрегатором ликвидности и финансовым центом обработки платежей участников глобальных рынков.",
211,licensesListText.license3.title,Заголовок №3,JPMorgan Chase & Co,
212,licensesListText.license3.text,Описание №3,"Международный банк, который выступает единым финансовым центром по обработке платежей и регламентации исполнения сделок на мировых рынках.",
213,licensesListText.license4.title,Заголовок №4,CySEC,
214,licensesListText.license4.text,Описание №4,"Кипрский независимый регулятор, который является контроллером исполнения обязанностей брокерских компаний, получивших лицензию этой комиссии.",
215,licensesListText.license5.title,Заголовок №5,IFSC,
216,licensesListText.license5.text,Описание №5,"Национальный финансовый регулятор Белиза, который призван контролировать деятельность брокерских и инвестиционных компаний на территории государства.",
217,licensesListText.license6.title,Заголовок №6,ASIC,
218,licensesListText.license6.text,Описание №6,"Австралийский финансовый контролирующий орган, который обеспечивает регулирование и контроль за работой финансовых компаний на территории страны и за ее пределами.",
219,licensesListText.license7.title,Заголовок №7,FSA,
220,licensesListText.license7.text,Описание №7,Не государственное управление по осуществлению финансового регулирования государства Сент-Винсент и Гренадины.,
221,licensesListText.license8.title,Заголовок №8,HSBC Holdings,
222,licensesListText.license8.text,Описание №8,"Один из крупнейших мировых финансовых центров, который является партнером многих инвестиционных и брокерских компаний мира.",
6. Ошибка 404.,,,,
223,headerText404.title,Заголовок,Ошибка 404,Error 404
224,headerText404.text,Подзаголовок,Попробуйте еще раз или обратитесь в службу поддержки.,Please try again or contact support.
225,headerText404.textMainPage,Вернуться на главную страницу,Вернуться на главную страницу,back to the main page
226,headerText404.textSupport,Служба технической поддержки,Служба технической поддержки,Technical support service
8. Формы,,,,#VALUE!
8.1. Заголовки форм,,,,#VALUE!
228,formsText.titleEnter,Вход в личный кабинет,Вход в личный кабинет,Your Personal Area
229,formsText.titleCallback,Оставить заявку,Оставить заявку,Submit your application
230,formsText.titleTwoauth,Двухэтапная авторизация,Двухфакторная авторизация,Two-factor authentication
231,buttonText.signup,Регистрация,Регистрация,check in
232,fotmsText.titleReminder,Восстановление пароля,Восстановление пароля,password reset
8.2. Поля ввода,,,,#VALUE!
